global_sales,critic_score
1.87,78
1.87,82
1.86,70
1.86,71
1.86,71
1.86,73
1.86,74
1.86,86
1.86,94
1.85,76
1.85,84
1.85,87
1.84,80
1.84,82
1.84,87
1.83,67
1.83,70
1.83,80
1.82,72
1.82,82
1.82,83
1.82,85
1.82,89
1.82,96
1.81,68
1.81,82
1.81,88
1.81,94
1.8,80
1.8,83
1.8,87
1.8,89
1.79,75
1.79,90
1.78,57
1.78,85
1.77,47
1.77,87
1.76,70
1.76,71
1.76,75
1.76,75
1.76,76
1.76,83
1.76,84
1.76,84
1.76,84
1.76,91
1.75,55
1.75,65
1.75,80
1.75,81
1.75,82
1.75,83
1.75,83
1.74,55
1.74,63
1.74,78
1.74,83
1.73,54
1.73,78
1.73,78
1.73,79
1.73,92
1.72,61
1.72,78
1.72,80
1.72,82
1.72,91
1.71,65
1.71,83
1.71,84
1.71,88
1.71,89
1.7,20
1.7,71
1.7,74
1.7,87
1.7,95
1.69,53
1.69,63
1.69,64
1.69,82
1.69,94
1.69,96
1.68,37
1.68,64
1.68,78
1.68,79
1.68,82
1.68,90
1.68,92
1.67,67
1.67,71
1.67,73
1.67,83
1.67,83
1.67,84
1.67,86
1.67,87
1.67,87
1.67,90
1.67,93
1.67,94
1.66,44
1.66,72
1.66,78
1.66,79
1.66,79
1.66,81
1.66,83
1.66,83
1.66,93
1.65,56
1.65,68
1.65,71
1.65,77
1.65,77
1.65,79
1.65,89
1.64,72
1.64,83
1.64,88
1.63,70
1.63,81
1.63,82
1.63,89
1.63,89
1.63,90
1.63,92
1.62,61
1.62,74
1.62,80
1.62,83
1.62,84
1.62,86
1.62,88
1.62,92
1.61,76
1.61,77
1.6,64
1.6,69
1.6,72
1.6,81
1.6,81
1.6,86
1.59,74
1.59,83
1.59,85
1.59,94
1.59,96
1.58,53
1.58,66
1.58,69
1.58,75
1.58,76
1.58,76
1.58,85
1.57,55
1.57,64
1.57,72
1.57,78
1.57,78
1.57,79
1.57,80
1.57,84
1.57,84
1.57,90
1.56,38
1.56,54
1.56,79
1.56,83
1.56,84
1.55,58
1.55,71
1.55,73
1.55,74
1.55,74
1.55,79
1.55,79
1.55,86
1.55,89
1.54,69
1.54,80
1.54,87
1.54,88
1.54,88
1.54,90
1.53,64
1.53,74
1.53,80
1.53,81
1.53,82
1.53,89
1.52,38
1.52,75
1.52,83
1.52,87
1.52,88
1.51,68
1.51,69
1.51,73
1.51,76
1.51,84
1.51,85
1.51,90
1.5,63
1.5,76
1.5,80
1.5,84
1.5,91
1.5,93
1.49,67
1.49,75
1.49,79
1.49,80
1.49,81
1.49,85
1.49,91
1.48,57
1.48,60
1.48,65
1.48,68
1.48,75
1.48,82
1.48,83
1.48,85
1.48,93
1.47,33
1.47,79
1.47,86
1.46,54
1.46,76
1.46,76
1.46,81
1.46,83
1.46,84
1.46,85
1.46,87
1.45,59
1.45,70
1.45,71
1.45,73
1.45,85
1.45,85
1.45,94
1.44,71
1.44,73
1.44,74
1.44,88
1.44,91
1.43,52
1.43,61
1.43,63
1.43,65
1.43,71
1.43,77
1.43,83
1.43,84
1.42,59
1.42,64
1.42,64
1.42,76
1.42,80
1.42,80
1.42,81
1.42,89
1.42,89
1.42,93
1.42,94
1.41,55
1.41,77
1.41,79
1.41,85
1.41,87
1.41,87
1.41,91
1.4,72
1.4,79
1.4,79
1.4,83
1.4,86
1.4,86
1.4,87
1.4,88
1.4,89
1.39,69
1.39,88
1.38,60
1.38,60
1.38,64
1.38,77
1.38,77
1.38,81
1.38,81
1.38,85
1.38,86
1.38,86
1.37,65
1.37,77
1.37,80
1.37,81
1.37,86
1.37,89
1.37,89
1.36,64
1.36,68
1.36,73
1.36,75
1.36,78
1.36,80
1.36,80
1.36,83
1.35,60
1.35,63
1.35,73
1.35,76
1.35,79
1.35,81
1.35,82
1.35,82
1.35,84
1.35,84
1.35,87
1.35,88
1.34,71
1.34,73
1.34,73
1.34,74
1.34,74
1.34,79
1.34,79
1.34,80
1.34,81
1.34,84
1.34,84
1.34,84
1.34,84
1.34,84
1.34,88
1.34,90
1.34,92
1.33,57
1.33,74
1.33,83
1.33,92
1.32,70
1.32,73
1.32,74
1.32,83
1.32,84
1.32,91
1.32,93
1.32,93
1.31,61
1.31,69
1.31,78
1.31,79
1.31,81
1.31,91
1.31,94
1.3,63
1.3,78
1.3,78
1.3,78
1.3,80
1.3,80
1.3,89
1.29,49
1.29,56
1.29,66
1.29,67
1.29,68
1.29,72
1.29,74
1.29,75
1.29,75
1.29,79
1.29,84
1.29,85
1.28,67
1.28,73
1.28,76
1.28,77
1.28,85
1.28,89
1.27,30
1.27,57
1.27,59
1.27,65
1.27,69
1.27,69
1.27,71
1.27,73
1.27,75
1.27,75
1.27,76
1.27,77
1.27,78
1.27,80
1.27,83
1.27,84
1.27,85
1.27,85
1.27,86
1.27,91
1.27,93
1.26,59
1.26,68
1.26,75
1.26,79
1.26,85
1.25,52
1.25,63
1.25,64
1.25,65
1.25,68
